관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
송도용궁구름다리,관광지,부산광역시 서구 암남공원로 179-20,부산광역시 서구 암남동 620-53,35.0619212,129.021965,254.0,화장실,,,,매표소,,2020-06-05,200,0,"송도해수욕장의 동쪽 송림공원에서 거북섬을 연결했던 추억의 명물 송도구름다리가 2002년 태풍 셀마 때 파손돼 철거된 지 18년 만에 ‘송도용궁구름다리’로 재탄생하였습니다. 암남공원에서 바다건너 작은 무인도인 동섬 상부를 연결하는 길이 127m, 폭 2m의 송도용궁구름다리는 바다 위를 걷는 짜릿함과 시원스럽게 펼쳐지는 바다 풍광, 기암절벽이 빚어내는 천혜의 경관을 감상할 수 있으며, 야간경관조명이 설치돼 밤에는 바다에 떠있는 신기루와 같은 환상적인 분위기를 연출해 관광도시 부산 서구의 새로운 랜드마크로 자리매김 하고 있습니다.",051-240-4084,부산광역시 서구청,2025-11-19,3260000,부산광역시 서구
송도오션파크,관광지,부산광역시 서구 송도해변로 36,부산광역시 서구 암남동 135-23,35.0727183,129.0174477,19222.5,화장실+주차장,,운동시설+해안산책로+광장,,관리실,,2017-04-17,100,88,"「송도지구 복합해양휴양지 조성사업」일환으로 2017년에 완공된 「송도오션파크」는 관광객 및 주민들의 열린 공간인 축제의 광장과 힐링의 광장, 운동시설이 설치되어 있는 젊음의 광장이 조성되어 있다.",051-240-4082,부산광역시 서구청,2025-11-19,3260000,부산광역시 서구
임시수도기념관,관광지,부산광역시 서구 임시수도기념로 45,부산광역시 서구 부민동3가 22,35.10374876,129.0175954,4774.2,화장실,,,전시실 등,관리실,,1984-06-25,40,18,"6.25 당시 임시수도로서 국난극복의 역사적 현장을 길이 보전하여,후세에 물려줌으로서 민족사의 암울한 시기를 깨닫게 하고 조국통일과 번영의 산교육장으로 활용하고 있다.",051-244-6345,부산광역시 서구청,2025-11-19,3260000,부산광역시 서구
구덕운동장,관광지,부산광역시 서구 망양로 57,부산광역시 서구 서대신동3가 211-1,35.11659638,129.0145297,71432.0,화장실,,주경기장+야구장+체육관 등,,관리사무소,,1928-09-01,100,182,1920년 9월 조그만 동물원을 곁에 둔 넓은 빈터로 마을 체육대회 장소로 사용하다가 1928년 9월에 부산공설운동장으로 건립되었다가 1982년 사직운동장이 건립되어 그해 6월에 구덕운동장으로 개칭되었다.,051-602-2211,부산광역시 체육시설관리사업소,2025-11-19,3260000,부산광역시 서구
천마산조각공원,관광지,부산광역시 서구 천마산로 209번길 94,부산광역시 서구 남부민동 1-6,35.08903987,129.0174786,16000.0,화장실,,소운동장 및 각종 체육시설,산책로+전망대+쉼터+조각작품 등,관리실,,2004-03-01,100,0,"남항에서 서쪽으로 바라보이는 해발 324m의 아담한 산에 조성된 1만 6천㎡에 이르는 공원이다. 하늘에서 말이 내려왔다는 전설의 천마 바위와 44점의 아름다운 조각 예술 작품이 운해의 바다 속에서 그 평화로움을 선보인다. 공원 주변에는체육시설과 산책로, 쉼터 등이 조성되어 문화공간으로 각광받고 있다.",051-240-3521,부산광역시 서구청,2025-11-19,3260000,부산광역시 서구
부산공동어시장,관광지,부산광역시 서구 충무대로 202,부산광역시 서구 남부민동 691-3,35.08990091,129.0263675,65287.0,화장실,,,,사무실,,1963-11-01,500,482,부산 공동어시장은 5개의 수산업협동조합이 공동으로 운영하고 있다. 1일 최대 3200톤(16만 상자) 규모의 우리나라 제일의 산지 어시장으로 새벽부터 경매사와 수산물 중도매인들의 열기가 뜨거운 곳이다.,051-254-8961,부산광역시 수산업협동조합,2025-11-19,3260000,부산광역시 서구
대신공원,관광지,부산광역시 서구 대신공원로 37-18,부산광역시 서구 서대신동 3가 산2-3,35.121591,129.0161785,2283033.0,화장실,,운동시설+궁도장 등,저수지+약수터+산책로+시비+조각품+민속석조물 등,관리사무소,,1968-02-21,100,110,"1968년 2월 21일 대신공원이란 이름으로 일반인이 즐기는 중앙 근린공원 으로 지정되었다. (건설부고시 제360호) 1900년 구덕산과 엄광산의 계곡에 2곳의 수원지를 축조하면서 삼나무, 편백, 벚꽃나무 등의 수목을 심고 주위를 정비한 후 수원지의 수원보호를 위해 일반인의 출입을 금지하였다. 1944년에는 수원지 일대를 자연공원 으로 고시하였는데 역시 일반인의 출입을 통제하였다.",051-860-7800,부산시설공단 중앙공원사업소,2025-11-19,3260000,부산광역시 서구
구덕문화공원,관광지,부산광역시 서구 꽃마을로 163번길 73,부산광역시 서구 서대신동3가 산18-15,35.12641369,129.005742,20000.0,화장실,,,교육역사관+민속생활관+목석원예관+인공폭포+편백숲 명상의 길+다목적관,,,2004-11-05,100,16,"구덕산 자락 숲속에 자리하였으며 교육역사관에는 조선시대부터 개화기, 일제강점기, 한국전쟁기, 그리고 현재에 이르기까지 약 640여점의 교육 사료가 전시되어있으며 최근 다목적관에 어린이복합문화공간인 서구 숲속놀이터가 조성되었다.",051-240-3521,부산광역시 서구청,2025-11-19,3260000,부산광역시 서구
암남공원,관광지,부산광역시 서구 암남공원로 185,부산광역시 서구 암남동 산193,35.0616574,129.0149368,553277.0,화장실,,낚시터+레포츠 시설 등,음수대+조각작품 등,관리사무소,,2004-04-01,100,341,"암남공원(岩南公園)은 부산시 서구 진정산 일대에 조성된 자연생태공원이다. 이곳에는 약 1억 년 전 형성된 퇴적암, 100여 종의 야생화와 370여 종의 식물 등 도심에서 보기 드문 자연생태가 군락을 이루고 있다. 산책로 1.9km, 해안 산책로 1.2km를 포함한 총 면적이 55만 3277㎡로 아름다운 해안 경치와 울창한 산림이 조화를 이룬 천혜의 자연 경관을 자랑한다.",051-240-4538,부산광역시 서구청,2025-11-19,3260000,부산광역시 서구
송도해수욕장,관광지,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502,199392.0,화장실,,송도구름산책로+해상다이빙대+해양레포츠센터+바닥분수대 등,탈의실+샤워장+분수대+파고라+테마거리 등,임해행정봉사실,,1913-07-01,10000,1047,"우리나라 제1호 해수욕장. 동양의 나폴리로 불리며 60,80년대 송도의 추억으로 잘 알려진 송도해수욕장이 아름다운 해안선을 자랑하며 사계절 즐길 수 있는 해변공원으로 새롭게 태어났다.",051-240-4126,부산광역시 서구청,2025-11-19,3260000,부산광역시 서구
송도해상케이블카,관광지,부산광역시 서구 송도해변로 171,부산광역시 서구 암남동 124-1,35.07664334,129.0233986,11369.0,화장실+주차장,,케이블카 캐빈 39기,레스토랑+전망대 등,송도해상케이블카 안내데스크(상부+하부 2곳),,2017-06-20,1000,892,"부산 송도해수욕장 동쪽 송림공원에서 서쪽 암남공원까지 1.62㎞ 구간을 바닥이 투명한 크리스탈 캐빈을 포함한 8인승 캐빈 39기가 운행합니다. 특히 최대 86m 높이에서 바다 위를 가로질러 운행함으로서 탑승객들은 바다 한가운데에서 짜릿함을 느끼는 것은 물론 암남공원, 남항, 영도에 이르기까지 사방으로 펼쳐진 빼어난 풍광을 즐길 수 있습니다.",051-240-4701,부산광역시 서구청,2025-11-19,3260000,부산광역시 서구
마니산 국민관광지,관광지,인천광역시 강화군 화도면 마니산로675번길 18,인천광역시 강화군 화도면 상방리 402-2,37.63245827,126.4237957,486000.0,관리사무소(2동)+분리수거장(2동)+창고(2동)+석교(7동)+목교(3동)+담수보(6동)+배수지(2동)+화장실(12동)+주차장(11개소)+매표소+정수장+물탱크(5동)+정화시설+샤워실,,,야외공연장+단군놀이터+야외취사장(7동)+전망대,,,1977-03-21,147272,1293,백두산과 한라산의 중간지점에 위치하여 우리나라에서 기가 가장 센 곳이며 정상에 있는 참성단에서 매해 제례를 올리고 칠선녀가 전국 체육대회의 성화를 채화함,032-930-7068,인천광역시 강화군 시설관리공단,2025-11-20,3570000,인천광역시 강화군
유치환의 우체통,관광지,부산광역시 동구 망양로580번길 2,부산광역시 동구 초량동 827-44,35.12209588,129.0338423,133.93,화장실,,,,,,2013-03-08,10,0,청마유치환선생을 기리기 위해 지어진곳 3층에 그리움이있는 느린우체통이 명소이다,051-440-4714,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
김민부전망대,관광지,부산광역시 동구 영초윗길26번길 14,부산광역시 동구 초량동 994-520,35.1176995,129.0353474,28.8,전기시설,,,,,,2016-04-20,0,0,부산 동구출신의 김민부 시인을 기리기위해 만들어진 전망대이다. 현재는 청년 창업공간으로 사용하고 있다.,051-440-4712,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
168계단 부대시설,관광지,부산광역시 동구 영초윗길26번길 14,부산광역시 동구 초량동 994-520,35.1176995,129.0353474,179.6,화장실,,,,,,2016-04-20,0,0,"168계단 모노레일 승강장 주변에 위치하며, 현재는 청년 창업공간으로 사용하고 있다.",051-440-4712,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
이바구충전소,관광지,부산광역시 동구 영초윗길 25,부산광역시 동구 초량동 974-4,35.11735028,129.034686,76.92,화장실,,,,,,2020-01-01,5,0,초량168계단이 보이고 경사형엘리베이터 종점부에 위치하고 현재는 청년 창업공간으로 사용하고 있다.,051-440-4712,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
장기려더나눔센터,관광지,부산광역시 동구 영초윗길 48,부산광역시 동구 초량동 856-31,35.11853593,129.0326526,394.92,화장실+주차장,,,,,,2013-04-01,15,2,장기려박사의 뜻을 기리는 기념관이다,051-440-4715,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
이바구공작소,관광지,부산광역시 동구 망양로486번길 14-13,부산광역시 동구 초량동 875-2,35.11709939,129.0338233,264.51,화장실+주차장,,,,,,2013-02-21,15,2,산복도로 사람들의 삶과 지역문화를 전시하는 아카이브센터이다,051-440-4715,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
유성온천,관광지,대전광역시 유성구 계룡로60,대전광역시 유성구 봉명동 574,36.3547298,127.3375865,273970.0,Y,N,Y,Y,N,Y,2019-01-01,3000,0,Y,042-611-2114,N,2021-10-27,6300000,대전광역시
으능정이문화의거리,관광지,대전광역시 중구 중앙로 170,대전광역시 중구 은행동 45-10,36.32934665,127.428337,630.8,Y,N,Y,Y,N,Y,2019-01-01,5000,355,Y,042-252-7100,N,2021-10-27,6300000,대전광역시
대전문화예술단지,관광단지,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 396,36.366496,127.3880154,33150.0,Y,N,Y,Y,N,Y,2019-01-01,3000,751,Y,042-270-8333,N,2021-10-27,6300000,대전광역시
망양로산복도로전시관,관광지,부산광역시 동구 망양로 488,부산광역시 동구 초량동 865-148,35.117653,129.033231,852.8,화장실+주차장,,,,,,2025-06-01,20,7,산복도로의 근현대사 생활사를 전시하고 및 문화주택 만들기 등 각종 체험프로그램을 운영하는 시설이다.,051-440-4715,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
168 더데크,관광지,부산광역시 동구 초량동 994-892,부산광역시 동구 초량동 994-892,35.117273,129.036088,214.0,화장실,,,,,,2024-05-10,50,0,대형스크린 및 헤드셋을 활용한 야외 영화 상영관이다.,051-440-4714,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
명란브랜드연구소,관광지,부산광역시 동구 영초윗길 22-1,부산광역시 동구 초량동 994-351,35.117117,129.035016,464.05,화장실,,,,,,2021-11-26,15,0,명란을 토대로 한 지역특화 미식관광 브랜딩 추진의 일환으로 지어진 공간이다.,051-440-4712,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
만화카페,관광지,부산광역시 동구 성북로 31,부산광역시 동구 좌천동 892-8,35.13675143,129.0496096,159.92,화장실+주차장,,,,,,2021-09-14,10,1,"동구 전역의 산복도로, 북항을 열기구 형태의 VR로 체험할 수 있고, 웹툰 도서 읽을 수 있다.",051-440-4715,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
좌천동굴,관광지,부산광역시 동구 고관로185번길 1,부산광역시 동구 좌천동 567-2,35.13325838,129.0522683,61.0,전기시설,,,,,,2016-12-15,5,0,일제강점기때 방공호이자 한국전쟁때 피난처였던 역사를 가진 좌천동의 동굴,051-440-4711,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
안용복기념 부산포개항문화관,관광지,부산광역시 동구 증산로 100,부산광역시 동구 좌천동 722,35.13563677,129.0529467,142.96,화장실,,,,,,2014-02-12,15,0,부산포개항의 역사를 기억하고 독도를 수호한 안용복장군의 정신을 기리기위해 만들어진 문화관이다,051-440-4711,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
만화체험관,관광지,부산광역시 동구 성북로 42-1,부산광역시 동구 범일동 1405-1,35.13778041,129.0497944,142.08,화장실+주차장,,,,,,2017-05-11,10,2,관광객의 볼거리와 재래시장 활성화를 위해 조성된 웹툰거리 내에 위치한 체험관,051-440-4715,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
소흥관(한중우호센터),관광지,부산광역시 동구 초량중로 36,부산광역시 동구 초량동 546,35.11507608,129.0375502,254.02,화장실,,,,,,2019-08-27,10,0,소흥시와 동구의 우호계약을 맺은 기념으로 만들어진곳으로 한복과 치파오체험을 할수있다,051-440-4711,부산광역시 동구청 문화관광과,2025-06-30,3270000,부산광역시 동구
무양서원,관광지,광주광역시 광산구 산월로21번길 26,광주광역시 광산구 월계동 535-2,35.21001305,126.8400956,3167.0,화장실(1)+주차장,,,,,,1987-12-31,30,6,고려 인종 때 어의이면서 명신인 장경공 최사전을 중심으로 그의 후손 4명을 모시고 있는 서원으로 1927년에 전국 유림의 호응을 얻어서 세운 서원이다. 서원의 이름은 광주의 옛 지명에서 따 왔다.,062-960-8255,광주광역시 광산구청,2025-02-04,3630000,광주광역시 광산구
월봉서원,관광지,광주광역시 광산구 광곡길 133,광주광역시 광산구 광산동 452,35.23583653,126.7451862,2344.0,화장실(1)+주차장,,,,,,1979-08-03,50,10,조선 전기의 문신인 기대승(1527∼1572)선생의 위패를 모시고 있는 사당으로 그 시대에 조선의 명신들을 함께 배향하였던 ‘월봉서원’의 강당이다. 기대승 선생은 성리학의 대가로서 새 학설을 제시하여 학계에 주목을 받았으며 스승인 이황 선생과 사단칠정을 주제로 8년 간 서신왕래를 한 것으로도 유명하다.,062-960-8255,광주광역시 광산구청,2025-02-04,3630000,광주광역시 광산구
감귤박물관,관광지,제주특별자치도 서귀포시 효돈순환로 441(신효동),제주특별자치도 서귀포시 신효동 1200-6,33.27159304,126.6074285,98426.0,"관리사무소+화장실(실내 3, 야외 2)+주차장",,,,,,2005-02-25,1000,90,제주감귤의 역사와 문화. 산업현장을 의미있는 관점에서 전시한 박물관으로. 감귤 관련 전시물과 다양한 감귤 품종 및 이국의 식물을 관람할 수 있음. 또한 감귤과 관련한 다양한 체험 프로그램도 준비되어 있으며. 최근 개장한 감귤카페 꿈나다에서 주변 경치를 구경하며 맛있는 감귤 음료. 디저트를 저렴한 가격에 즐길 수 있음.,064-760-6400,제주특별자치도 서귀포시청,2025-11-26,6520000,제주특별자치도 서귀포시
용머리해안,관광지,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-30,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.23342738,126.3136956,256000.0,관리사무소+화장실(2동)+주차장,,,,,,1986-09-01,10000,123,마치 바다속으로 들어가는 용의 머리를 닮았다 해서 용머리해안으로 불림. 수천만년 동안 층층이 쌓인 사암층 암벽이 파도에 깎여 기묘한 절벽을 이루고 있음. (천연기념물 제526호. 제주도지질공원),064-760-6300,제주특별자치도 서귀포시청,2025-11-26,6520000,제주특별자치도 서귀포시
산방산,관광지,제주특별자치도 서귀포시 안덕면 산방로 218-11,제주특별자치도 서귀포시 안덕면 사계리 184,33.23697818,126.312306,643736.0,관리사무소+화장실(1동)+주차장,,,,,,1972-03-22,3000,26,높이 395m의 거대한 종 모양의 화산체로서 설문대할망이 한라산 꼭대기를 뽑아 던져 놓았다는 전설이 있음. 해발고도 200m에 산방굴이라는 해식동굴이 있음. (명승 제77호. 천연기념물 제376호. 제주도지질공원),064-760-6300,제주특별자치도 서귀포시청,2025-11-26,6520000,제주특별자치도 서귀포시
천제연폭포,관광지,제주특별자치도 서귀포시 천제연로 132(중문동),제주특별자치도 서귀포시 중문동 2232,33.2526783,126.4183754,349000.0,관리사무소+화장실(1동)+주차장,,,,,,1972-03-23,15000,141,한라산에서 시작된 중문천이 바다로 흐르면서 형성된 폭포. 3개의 폭포로 나뉘어 지는데 주상절리 절벽에서 천제연(못)으로 떨어지는 1폭포. 천제연 물이 더 아래로 흐르면서 형성된 2. 3폭포가 있음. 옥황상제를 모시는 칠선녀가 목욕을 하다 간다는 전설이 있을만큼 빼어난 경관을 자랑함(천연기념물 제378호 천제연 난대림),064-760-6300,제주특별자치도 서귀포시청,2025-11-26,6520000,제주특별자치도 서귀포시
주상절리대,관광지,제주특별자치도 서귀포시 이어도로 36-30(중문동),제주특별자치도 서귀포시 중문동 2768-1,33.23799399,126.4260174,21764.0,관리사무소+화장실(1동)+주차장,,,,,,2005-08-01,11000,80,주상절리는 주로 현무암질 용암류에 형성되는 수직절리를 말함. 중문·대포해안 주상절리대는 높이가 30~40m. 폭이 약 1km 정도로 우리나라 최대 규모로 육모꼴의 기둥이 병풍처럼 둘러쳐져 있어 자연의 신비를 만끽할 수 있음.(천연기념물 제 443호. 제주도지질공원),064-760-6300,제주특별자치도 서귀포시청,2025-11-26,6520000,제주특별자치도 서귀포시
정방폭포,관광지,제주특별자치도 서귀포시 칠십리로214번길 37(동홍동),제주특별자치도 서귀포시 동홍동 278,33.24474912,126.5730486,295000.0,관리사무소+화장실(1동)+주차장,,,,,,1972-05-02,7000,95,높이 23m. 너비 8m. 깊이 5m에 달하는 동양 유일의 해안폭포로서 폭포수가 바다로 직접 떨어지는 경관을 관람할 수 있음(명승 제43호),064-760-6300,제주특별자치도 서귀포시청,2025-11-26,6520000,제주특별자치도 서귀포시
천지연폭포,관광지,제주특별자치도 서귀포시 남성중로 2-15(서홍동),제주특별자치도 서귀포시 서홍동 666-1,33.2447447,126.5595511,273538.0,관리사무소+화장실(3동)+주차장,,,,,,1972-03-23,15000,181,하늘과 땅이 만나는 곳의 연못이라는 뜻의 천지연은 난대식물지대로서 계곡전체가 천연보호구역으로 지정되어 있어 주변 경관이 수려함. 조명시설이 되어있어 오후 10시까지 야간 관람 가능함.(천연기념물 제163호 담팔수 자생지. 제379호 천지연 난대림. 제27호 무태장어 서식지),064-760-6300,제주특별자치도 서귀포시청,2025-11-26,6520000,제주특별자치도 서귀포시
성옥기념관,관광지,전라남도 목포시 영산로 11,전라남도 목포시 유달동 4-2,34.78698576,126.3798645,1723.0,화장실+주차장+라운지,,,,,,2004-06-01,200,10,"조선내화(주)창업자인 성옥 이훈동 선생의 미수를 기리기 위해 자녀들이 건립한 문화공간으로 선생이 수집한 근 · 현대 작품, 다양한 고미술작품과 도자기 등을 감상 할 수 있다.",061-244-2527,전라남도 목포시청,2025-06-25,4800000,전라남도 목포시
"목포근대역사관 2관 (구,동양척식주식회사)",관광지,전라남도 목포시 번화로 18,전라남도 목포시 중앙동2가 6,34.78596374,126.3814912,1448.0,화장실+주차장+여행자쉼터,,,박물관,,,2006-07-20,100,30,구 동양척식주식회사 목포지점이었던 근대역사관2관은 1920년 6월에 건립된 일제시대 건축물로 1999년 11월 20일 전라남도 기념물 제174호로 지정.동양척식주식회사 건물 복원기념으로 사진이 전시되고 있다 2층건물에는 주요 근대역사자료와 관련한 상설전시중이다.,061-270-8728,전라남도 목포시청,2025-06-25,4800000,전라남도 목포시
"목포근대역사관 1관 (구, 일본영사관)",관광지,전라남도 목포시 영산로 29번길 6,전라남도 목포시 대의동2가 1-5,34.78769578,126.3817942,6575.2,화장실,,방공호체험+XR체험존,박물관,,,2014-03-01,100,0,"목포 최초의 서구적 근대 건축물로 건립당시의 내·외관을 거의 그대로 유지하고 있으며 목포 개항 이후 1900년 12월 일본영사관으로 지어져 광복 이후 목포시청, 시립도서관, 문화원으로 사용하다가 현재는 목포 근대역사관 1관으로 운영중에 있다",061-242-0340,전라남도 목포시청,2025-06-25,4800000,전라남도 목포시
인천도시역사관,관광지,인천광역시 연수구 인천타워대로 238,인천광역시 연수구 송도동24-7,37.39281227,126.6358879,8409.0,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,,,,,,2009-08-07,300,70,고대 및 근대 전시관+인천 모형관+IFEZ모형관,032-850-6000,인천광역시,2025-04-28,3520000,인천광역시 연수구
인천상륙작전기념관,관광지,인천광역시 연수구 청량로160번길 26,인천광역시 연수구 옥련동 525,37.42070925,126.6531798,1788.0,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,,,,,,1984-09-15,200,50,전시관+야외전시장+야외공연장+영상실+휴게실+전망대+소공원,032-832-0915,인천광역시,2025-04-28,3520000,인천광역시 연수구
인천가스과학관,관광지,인천광역시 연수구 인천신항대로960,인천광역시 연수구 송도동 364,37.34875022,126.6077146,6096.0,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,,,,,,1998-11-03,300,100,옥외조형물 5종+실내전시물 23개코너+크린타워,032-822-4492,한국가스공사,2025-04-28,3520000,인천광역시 연수구
오동도,관광지,전라남도 여수시 오동도로 222,전라남도 여수시 수정동 1-2,34.7443435,127.764121,130000.0,화장실+동백열차,,U-Bike,음악분수대,관광안내소,관리사무소,1968-01-01,0,356,동백을 비롯하여 194종의 울창한 의귀수목과 기암절벽이 자연스럽게 조화를 이룬 섬으로 한려해상국립공원에 속해있다. 동백꽃으로 유명한 여수의 대표 관광지이다.,061-659-1819,전라남도 여수시청,2024-04-01,4810000,전라남도 여수시
여수이순신대교,관광지,전라남도 여수시 묘도7길 110,전라남도 여수시 묘도동 산127-37,34.8892365327,127.7049289912,0.0,화장실,,,전망대,안내데스크,사무실,2013-02-08,0,0,"세계최고의 높이를 자랑하는 주탑높이(270m)는 63빌딩보다 높고 주탑간 거리 1,545m는 충무공 이순신 장군의 탄신해인 1545년을 기념하기 위한 것으로 웅장함과 탁 뜨인 바다 전경이 일품이다.",061-807-2020,국토교통부,2024-04-01,4810000,전라남도 여수시
예술랜드리조트,관광지,"전라남도 여수시 돌산읍 무술목길 142-1,",전라남도 여수시 돌산읍 평사리 산244,34.69510702,127.7769452,65904.0,화장실+푸드코트,리조트,인피니티풀+트릭아트뮤지엄+조각공원,,안내데스크,안내데스크,2018-07-15,0,0,"전 객실 오션뷰, AR로 체험하는 국내 최대 테마형 3D트릭아트뮤지엄, +60미터 미디어 터널과 150미터 암반터널을 통해 만나는 조각공원, 바다를 바라보는 여수 최대규모 1500평 인피니티 풀로 새로운 종합관광지로 자리잡았다.",1522-2600,(주)여수예술랜드,2024-04-01,4810000,전라남도 여수시
여수해양공원,관광지,전라남도 여수시 하멜로 96,전라남도 여수시 종화동 458-5,34.73676698,127.7484079,0.0,화장실,,,공연장+놀이터,관광안내소,관리사무소,2012-01-01,0,214,"해안선을 따라 조성된 1.5km 구간 시민공원으로 아름다운 여수 밤바다를 만끽 할 수 있는 최고의 휴식공간이다. 하멜등대, 해양케이블카, 돌산대교, 거북선대교, 장군도 등이 한눈에 보여 밤바다를 거닐 수 있는 필수 데이트 코스이며, 또한 각종 공연 및 행사가 다채롭게 열려 볼거리가 많다.",061-659-3962,전라남도 여수시청,2024-04-01,4810000,전라남도 여수시
여수세계박람회장,관광지,전라남도 여수시 박람회길 1,전라남도 여수시 덕충동 2005,34.75218956,127.7465005,598000.0,화장실,소노캄+베네치아호텔+유탑마리나리조트+신라스테이,아쿠아플라넷+빅오쇼,엑스포아트갤러리+엑스포기념관,안내소,사무실,2012-04-30,0,1909,2012년 여수세계박람회를 성공적으로 개최한 장소로 단순 공원이 아닌 관광부터 비즈니스까지 원스톱으로 즐길 수 있는 전천후 복합문화체험공단.,1577-2012,2012여수세계박람회재단,2024-04-01,4810000,전라남도 여수시
여수해상케이블카,관광지,전라남도 여수시 자산4길 39,전라남도 여수시 수정동 332-57,34.7402223,127.7529197,0.0,화장실,,판타지아트뮤지엄,공연장,매표소,사무소,2014-12-02,355,244,"여수 돌산과 자산공원을 잇는 1.5km구간의 국내 첫 해상케이블카로 바닥이 투명한 크리스탈 캐빈 15대(5인승)와 일반 캐빈 35대(8인승), 총 50대가 운행되고 있다. 아찔한 스릴감과 함께 맛보는 다도해의 전망과 여수밤바다 풍경이 한눈에 들어온다.",061-664-7301,여수해상케이블카 주식회사,2024-04-01,4810000,전라남도 여수시
향일암,관광지,전라남도 여수시 돌산읍 향일암로 60,전라남도 여수시 율림리 산 7,34.59379448,127.8029861,0.0,화장실,,,,관광안내소,매표소+종무소,2012-05-06,0,109,우리나라 4대 관음기도도량 중 하나로 전국 최고의 일출명소이다. 644년 원효대사에 의해 창건되었다고 전해진다.,061-644-0309,대한불교조계종,2024-04-01,4810000,전라남도 여수시
진남관,관광지,전라남도 여수시 동문로 11,전라남도 여수시 군자동 472,34.7413383,127.7365704,792.0,화장실,,,임란유물전시관,관광안내소,관리사무소,2001-04-17,0,102,국보 제 304호 국내 최대 단층목조건물로 조선시대 400여 년간 조선수군의 본거지로 이용되었던 역사의 현장이다. 2020년 12월까지 보수공사중이다.,061-659-5710,전라남도 여수시청,2024-04-01,4810000,전라남도 여수시
가천박물관,관광지,인천광역시 연수구 청량로102번길 40-9,인천광역시 연수구 옥련동 567-22,37.41847997,126.6576026,396.0,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,,,,,,1995-10-31,100,21,인천지역 유일한 국보를 포함한 총소장품 18382점,032-833-4747,가천문화재단,2025-04-28,3520000,인천광역시 연수구
신창동 유적체험학습관,관광지,광주광역시 광산구 북문대로 396-2,광주광역시 광산구 신창동 632-4,35.1934895566,126.8504631838,2259.0,화장실(2)+직원동+주차장,,,,,,2022-10-10,100,23,초기 철기의 생활에 대한 동영상 시청 등을 포함한 그 시대 체험 박물관,062-960-3827,광주광역시 문화기반조성과,2025-02-04,3630000,광주광역시 광산구
호가정,관광지,광주광역시 광산구 동곡분토길 195,광주광역시 광산구 본덕동 1,35.08243286,126.7871342,731.0,화장실,,,,,,1990-11-15,25,2,조선시대 문신 설강 유사 선생이 지은 정자로 큰 소리로 노래 부른다라는 의미를 담고 있다고 하며 광산 8경 중 한 곳으로 선정될 만큼 풍광이 수려하고 유서깊은 곳이다.,062-960-3827,광주광역시 광산구청,2025-02-04,3630000,광주광역시 광산구
용아생가,관광지,광주광역시 광산구 소촌로46번길 24,광주광역시 광산구 소촌동 363-1,35.14942906,126.7951682,2479.0,화장실,,,,,,1986-02-07,30,0,"김영랑·정지용·정인보 등과 문학 동인으로 활동하였던, 한국 서정시 발전에 선구적 역할을 한 용아 박용철(1904∼1938) 선생의 생가이다.",062-960-3827,광주광역시 광산구청,2025-02-04,3630000,광주광역시 광산구
장도포대지,관광지,,인천광역시 남동구 논현동 111-13,37.39790186,126.7382687,2275.0,전기시설,,,,,,2000-01-01,1000,0,인천광역시 문화재자료 제19호로 조선시대인 1877년 일본이 서해안 개항지를 물색하자 고종이 어영대장 신정희로 하여금 설치하였음,032-453-2140,인천광역시 남동구청,2025-11-28,3530000,인천광역시 남동구
소래철교,관광지,인천광역시 남동구 포구로 2-9(논현동),,37.3988308,126.7403795,152.0,전기시설,,,,,,2000-01-01,10000,0,수인선 협궤열차가 다니던 철로교량으로 길이 126미터의 소래철교는 1994년 열차운행이 중단된 후 통행로로 이용,032-453-2140,인천광역시 남동구청,2025-11-28,3530000,인천광역시 남동구
